vehiculo,ruta,costo
V1,R1,353
V1,R2,547
V1,R3,552
V1,R4,504
V1,R5,355
V1,R6,337
V1,R7,456
V1,R8,318
V1,R9,289
V1,R10,539
V1,R11,412
V1,R12,311
V1,R13,310
V1,R14,260
V1,R15,498
V1,R16,429
V1,R17,397
V1,R18,324
V1,R19,352
V1,R20,260
V1,R21,549
V1,R22,334
V1,R23,346
V1,R24,468
V1,R25,308
V1,R26,418
V1,R27,509
V1,R28,453
V1,R29,299
V1,R30,423
V1,R31,350
V1,R32,260
V1,R33,260
V1,R34,331
V1,R35,260
V1,R36,441
V1,R37,295
V1,R38,570
V1,R39,292
V1,R40,436
V1,R41,400
V1,R42,451
V1,R43,527
V1,R44,516
V1,R45,398
V1,R46,280
V1,R47,485
V1,R48,448
V1,R49,403
V1,R50,428
V1,R51,534
V1,R52,371
V1,R53,478
V1,R54,430
V1,R55,580
V1,R56,558
V1,R57,467
V1,R58,580
V1,R59,504
V1,R60,386
V1,R61,426
V1,R62,278
V1,R63,323
V1,R64,412
V1,R65,556
V1,R66,318
V1,R67,447
V1,R68,484
V1,R69,337
V1,R70,577
V1,R71,580
V1,R72,561
V1,R73,424
V1,R74,580
V1,R75,410
V1,R76,283
V1,R77,389
V1,R78,447
V1,R79,534
V1,R80,525
V1,R81,417
V1,R82,442
V1,R83,273
V1,R84,546
V1,R85,409
V1,R86,384
V1,R87,283
V1,R88,346
V1,R89,284
V1,R90,467
V1,R91,336
V1,R92,260
V1,R93,482
V1,R94,568
V1,R95,553
V1,R96,383
V1,R97,494
V1,R98,448
V1,R99,382
V1,R100,452
V2,R1,453
V2,R2,580
V2,R3,436
V2,R4,277
V2,R5,260
V2,R6,383
V2,R7,580
V2,R8,406
V2,R9,299
V2,R10,419
V2,R11,515
V2,R12,410
V2,R13,428
V2,R14,569
V2,R15,268
V2,R16,518
V2,R17,427
V2,R18,431
V2,R19,311
V2,R20,445
V2,R21,491
V2,R22,307
V2,R23,580
V2,R24,361
V2,R25,580
V2,R26,333
V2,R27,488
V2,R28,323
V2,R29,484
V2,R30,362
V2,R31,325
V2,R32,374
V2,R33,453
V2,R34,362
V2,R35,352
V2,R36,502
V2,R37,289
V2,R38,260
V2,R39,524
V2,R40,580
V2,R41,351
V2,R42,505
V2,R43,344
V2,R44,509
V2,R45,396
V2,R46,398
V2,R47,342
V2,R48,298
V2,R49,530
V2,R50,470
V2,R51,260
V2,R52,343
V2,R53,298
V2,R54,278
V2,R55,515
V2,R56,341
V2,R57,467
V2,R58,537
V2,R59,548
V2,R60,580
V2,R61,452
V2,R62,412
V2,R63,401
V2,R64,411
V2,R65,357
V2,R66,580
V2,R67,427
V2,R68,322
V2,R69,309
V2,R70,500
V2,R71,474
V2,R72,408
V2,R73,425
V2,R74,324
V2,R75,457
V2,R76,499
V2,R77,355
V2,R78,424
V2,R79,260
V2,R80,364
V2,R81,427
V2,R82,365
V2,R83,343
V2,R84,552
V2,R85,580
V2,R86,550
V2,R87,478
V2,R88,496
V2,R89,433
V2,R90,260
V2,R91,299
V2,R92,481
V2,R93,575
V2,R94,489
V2,R95,428
V2,R96,343
V2,R97,528
V2,R98,402
V2,R99,317
V2,R100,365
V3,R1,428
V3,R2,463
V3,R3,551
V3,R4,578
V3,R5,461
V3,R6,406
V3,R7,511
V3,R8,483
V3,R9,466
V3,R10,565
V3,R11,260
V3,R12,543
V3,R13,405
V3,R14,478
V3,R15,436
V3,R16,560
V3,R17,422
V3,R18,459
V3,R19,580
V3,R20,466
V3,R21,341
V3,R22,395
V3,R23,475
V3,R24,501
V3,R25,418
V3,R26,317
V3,R27,525
V3,R28,354
V3,R29,476
V3,R30,263
V3,R31,342
V3,R32,445
V3,R33,421
V3,R34,550
V3,R35,306
V3,R36,420
V3,R37,312
V3,R38,542
V3,R39,474
V3,R40,474
V3,R41,382
V3,R42,355
V3,R43,298
V3,R44,260
V3,R45,456
V3,R46,327
V3,R47,354
V3,R48,433
V3,R49,311
V3,R50,511
V3,R51,319
V3,R52,260
V3,R53,445
V3,R54,484
V3,R55,389
V3,R56,462
V3,R57,300
V3,R58,427
V3,R59,507
V3,R60,273
V3,R61,580
V3,R62,482
V3,R63,514
V3,R64,553
V3,R65,346
V3,R66,282
V3,R67,372
V3,R68,323
V3,R69,514
V3,R70,507
V3,R71,443
V3,R72,300
V3,R73,522
V3,R74,461
V3,R75,468
V3,R76,385
V3,R77,430
V3,R78,395
V3,R79,465
V3,R80,391
V3,R81,521
V3,R82,471
V3,R83,547
V3,R84,580
V3,R85,318
V3,R86,411
V3,R87,374
V3,R88,326
V3,R89,294
V3,R90,478
V3,R91,382
V3,R92,513
V3,R93,569
V3,R94,318
V3,R95,290
V3,R96,479
V3,R97,536
V3,R98,413
V3,R99,422
V3,R100,281
V4,R1,536
V4,R2,336
V4,R3,420
V4,R4,352
V4,R5,535
V4,R6,490
V4,R7,286
V4,R8,535
V4,R9,532
V4,R10,467
V4,R11,339
V4,R12,436
V4,R13,443
V4,R14,303
V4,R15,557
V4,R16,367
V4,R17,449
V4,R18,385
V4,R19,260
V4,R20,409
V4,R21,454
V4,R22,384
V4,R23,321
V4,R24,365
V4,R25,532
V4,R26,578
V4,R27,349
V4,R28,468
V4,R29,428
V4,R30,401
V4,R31,443
V4,R32,506
V4,R33,580
V4,R34,413
V4,R35,485
V4,R36,419
V4,R37,278
V4,R38,391
V4,R39,328
V4,R40,417
V4,R41,438
V4,R42,534
V4,R43,489
V4,R44,396
V4,R45,494
V4,R46,368
V4,R47,417
V4,R48,553
V4,R49,452
V4,R50,408
V4,R51,494
V4,R52,442
V4,R53,533
V4,R54,442
V4,R55,369
V4,R56,504
V4,R57,288
V4,R58,319
V4,R59,476
V4,R60,357
V4,R61,290
V4,R62,437
V4,R63,339
V4,R64,443
V4,R65,512
V4,R66,389
V4,R67,428
V4,R68,501
V4,R69,535
V4,R70,530
V4,R71,503
V4,R72,495
V4,R73,295
V4,R74,540
V4,R75,364
V4,R76,304
V4,R77,375
V4,R78,260
V4,R79,406
V4,R80,295
V4,R81,364
V4,R82,374
V4,R83,483
V4,R84,296
V4,R85,565
V4,R86,392
V4,R87,470
V4,R88,301
V4,R89,396
V4,R90,264
V4,R91,580
V4,R92,268
V4,R93,430
V4,R94,366
V4,R95,260
V4,R96,580
V4,R97,467
V4,R98,484
V4,R99,538
V4,R100,337
V5,R1,514
V5,R2,481
V5,R3,528
V5,R4,527
V5,R5,580
V5,R6,260
V5,R7,336
V5,R8,311
V5,R9,520
V5,R10,260
V5,R11,349
V5,R12,506
V5,R13,277
V5,R14,405
V5,R15,426
V5,R16,491
V5,R17,362
V5,R18,475
V5,R19,389
V5,R20,515
V5,R21,470
V5,R22,578
V5,R23,358
V5,R24,378
V5,R25,380
V5,R26,260
V5,R27,347
V5,R28,430
V5,R29,269
V5,R30,404
V5,R31,374
V5,R32,580
V5,R33,420
V5,R34,475
V5,R35,356
V5,R36,451
V5,R37,292
V5,R38,576
V5,R39,474
V5,R40,308
V5,R41,400
V5,R42,469
V5,R43,343
V5,R44,313
V5,R45,455
V5,R46,499
V5,R47,260
V5,R48,269
V5,R49,277
V5,R50,526
V5,R51,539
V5,R52,320
V5,R53,546
V5,R54,370
V5,R55,377
V5,R56,450
V5,R57,304
V5,R58,380
V5,R59,293
V5,R60,331
V5,R61,486
V5,R62,355
V5,R63,507
V5,R64,545
V5,R65,524
V5,R66,580
V5,R67,402
V5,R68,384
V5,R69,262
V5,R70,567
V5,R71,300
V5,R72,399
V5,R73,315
V5,R74,498
V5,R75,311
V5,R76,502
V5,R77,455
V5,R78,260
V5,R79,522
V5,R80,562
V5,R81,443
V5,R82,546
V5,R83,533
V5,R84,330
V5,R85,501
V5,R86,275
V5,R87,329
V5,R88,468
V5,R89,538
V5,R90,302
V5,R91,275
V5,R92,343
V5,R93,284
V5,R94,498
V5,R95,341
V5,R96,317
V5,R97,376
V5,R98,472
V5,R99,536
V5,R100,280
V6,R1,360
V6,R2,410
V6,R3,289
V6,R4,325
V6,R5,391
V6,R6,539
V6,R7,456
V6,R8,266
V6,R9,505
V6,R10,401
V6,R11,393
V6,R12,519
V6,R13,311
V6,R14,365
V6,R15,563
V6,R16,460
V6,R17,417
V6,R18,408
V6,R19,425
V6,R20,312
V6,R21,422
V6,R22,580
V6,R23,564
V6,R24,322
V6,R25,580
V6,R26,486
V6,R27,444
V6,R28,260
V6,R29,433
V6,R30,349
V6,R31,550
V6,R32,580
V6,R33,503
V6,R34,400
V6,R35,542
V6,R36,422
V6,R37,541
V6,R38,334
V6,R39,319
V6,R40,551
V6,R41,436
V6,R42,378
V6,R43,286
V6,R44,545
V6,R45,505
V6,R46,477
V6,R47,473
V6,R48,556
V6,R49,390
V6,R50,362
V6,R51,438
V6,R52,448
V6,R53,302
V6,R54,353
V6,R55,497
V6,R56,553
V6,R57,580
V6,R58,467
V6,R59,494
V6,R60,580
V6,R61,535
V6,R62,386
V6,R63,282
V6,R64,496
V6,R65,504
V6,R66,490
V6,R67,511
V6,R68,527
V6,R69,451
V6,R70,339
V6,R71,263
V6,R72,527
V6,R73,341
V6,R74,309
V6,R75,528
V6,R76,490
V6,R77,320
V6,R78,417
V6,R79,358
V6,R80,350
V6,R81,301
V6,R82,434
V6,R83,260
V6,R84,516
V6,R85,308
V6,R86,540
V6,R87,368
V6,R88,418
V6,R89,303
V6,R90,580
V6,R91,536
V6,R92,271
V6,R93,432
V6,R94,508
V6,R95,566
V6,R96,503
V6,R97,494
V6,R98,260
V6,R99,338
V6,R100,530
V7,R1,391
V7,R2,331
V7,R3,267
V7,R4,580
V7,R5,523
V7,R6,274
V7,R7,567
V7,R8,416
V7,R9,509
V7,R10,295
V7,R11,335
V7,R12,533
V7,R13,488
V7,R14,346
V7,R15,323
V7,R16,526
V7,R17,383
V7,R18,397
V7,R19,346
V7,R20,300
V7,R21,372
V7,R22,422
V7,R23,464
V7,R24,260
V7,R25,374
V7,R26,282
V7,R27,376
V7,R28,316
V7,R29,353
V7,R30,286
V7,R31,542
V7,R32,335
V7,R33,414
V7,R34,429
V7,R35,347
V7,R36,286
V7,R37,507
V7,R38,369
V7,R39,464
V7,R40,518
V7,R41,497
V7,R42,544
V7,R43,473
V7,R44,406
V7,R45,344
V7,R46,560
V7,R47,556
V7,R48,381
V7,R49,446
V7,R50,473
V7,R51,337
V7,R52,349
V7,R53,580
V7,R54,354
V7,R55,554
V7,R56,412
V7,R57,433
V7,R58,377
V7,R59,544
V7,R60,399
V7,R61,348
V7,R62,260
V7,R63,379
V7,R64,438
V7,R65,468
V7,R66,507
