id,destino,prioridad,peso
1,Popayán,2,19.5
2,Cali,2,18.0
3,Manizales,4,5.6
4,Ipiales,4,21.2
5,Bucaramanga,3,11.9
6,Valledupar,2,10.5
7,Medellín,4,24.6
8,Bucaramanga,1,20.5
9,Tunja,2,12.6
10,Manizales,4,5.6
11,Ibagué,1,20.4
12,Ibagué,4,17.6
13,Medellín,5,21.7
14,Pasto,4,7.2
15,Santa Marta,2,19.6
16,Cartagena,2,6.1
17,Medellín,1,16.3
18,Pasto,5,19.8
19,Santa Marta,2,14.0
20,Quibdó,2,15.9
21,Valledupar,3,9.3
22,Medellín,2,9.6
23,Quibdó,5,11.9
24,Ibagué,4,16.2
25,Cali,5,13.7
26,Pereira,1,12.8
27,Medellín,4,10.1
28,Barranquilla,3,15.6
29,Ipiales,5,23.9
30,Popayán,4,14.1
31,Ipiales,5,13.8
32,Santa Marta,3,16.2
33,Florencia,4,20.1
34,Sincelejo,4,22.7
35,Cúcuta,5,12.9
36,Pereira,2,16.2
37,Ipiales,1,18.7
38,Neiva,2,18.3
39,Popayán,5,10.8
40,Valledupar,3,18.1
41,Manizales,5,8.4
42,Tunja,3,14.4
43,Medellín,4,17.8
44,Popayán,1,15.0
45,Mitú,2,5.5
46,Cúcuta,5,16.0
47,Manizales,5,14.8
48,Montería,2,12.0
49,Medellín,2,8.2
50,Sincelejo,3,7.4
51,Florencia,5,15.6
52,Santa Marta,3,7.7
53,Tunja,1,16.4
54,Santa Marta,2,21.6
55,Ipiales,4,11.5
56,Quibdó,5,21.4
57,Pasto,3,16.9
58,Ibagué,3,23.4
59,Riohacha,4,20.2
60,Medellín,1,23.0
61,Pasto,3,6.2
62,Santa Marta,4,13.4
63,Riohacha,3,23.3
64,Sincelejo,4,23.3
65,Montería,2,15.2
66,Riohacha,1,12.3
67,Bucaramanga,4,11.7
68,Medellín,3,24.8
69,Medellín,3,18.8
70,Popayán,2,11.5
71,Popayán,2,23.7
72,Santa Marta,4,7.5
73,Cartagena,5,15.2
74,Riohacha,1,10.4
75,Quibdó,5,16.5
76,Sincelejo,4,6.0
77,Bogotá,5,20.6
78,Cali,2,22.0
79,Sincelejo,1,5.7
80,Santa Marta,2,24.1
81,Santa Marta,4,8.4
82,Medellín,3,4.6
83,Manizales,4,15.3
84,Cartagena,3,5.4
85,Pasto,5,21.3
86,Popayán,4,6.5
87,Montería,2,15.7
88,Tunja,5,13.1
89,Villavicencio,5,20.1
90,Valledupar,2,4.6
91,Ibagué,3,22.8
92,Bogotá,5,11.7
93,Armenia,3,9.2
94,Armenia,2,9.2
95,Cali,2,4.7
96,Cartagena,3,10.3
97,Florencia,4,12.1
98,Mitú,3,14.5
99,Cúcuta,3,8.8
100,Barranquilla,2,12.3
101,Quibdó,3,20.4
102,Cúcuta,4,22.0
103,Bucaramanga,2,11.1
104,Pereira,1,5.3
105,Valledupar,2,6.5
106,Pereira,5,5.9
107,Florencia,4,7.3
108,Cartagena,4,7.0
109,Villavicencio,3,15.6
110,Bogotá,2,19.9
111,Bucaramanga,5,16.8
112,Santa Marta,5,15.6
113,Riohacha,4,11.7
114,Valledupar,1,12.1
115,Valledupar,2,4.9
116,Villavicencio,3,17.4
117,Neiva,1,24.5
118,Santa Marta,5,9.1
119,Mitú,3,10.2
120,Popayán,2,4.9
121,Tunja,1,23.9
122,Bogotá,5,15.2
123,Santa Marta,5,12.1
124,Tunja,2,15.3
125,Florencia,1,17.8
126,Neiva,5,9.3
127,Riohacha,3,12.9
128,Tunja,5,21.5
129,Bogotá,1,15.7
130,Pasto,2,22.4
131,Armenia,2,14.5
132,Cúcuta,5,12.4
133,Valledupar,1,20.3
134,Neiva,2,12.8
135,Quibdó,3,7.3
136,Montería,2,12.6
137,Valledupar,2,21.0
138,Cali,4,10.5
139,Quibdó,1,6.1
140,Pereira,1,12.0
141,Barranquilla,3,14.9
142,Sincelejo,3,7.6
143,Tunja,2,21.6
144,Armenia,1,6.9
145,Montería,3,23.0
146,Ipiales,4,20.0
147,Tunja,3,18.6
148,Pereira,1,21.0
149,Manizales,3,17.1
150,Mitú,5,8.3
151,Pasto,1,14.4
152,Bucaramanga,3,20.2
153,Neiva,2,14.7
154,Florencia,1,15.4
155,Barranquilla,2,18.8
156,Bucaramanga,5,7.7
157,Barranquilla,5,12.9
158,Florencia,3,12.8
159,Ipiales,2,21.7
160,Popayán,2,13.5
161,Pereira,3,23.7
162,Cartagena,1,20.7
163,Cúcuta,4,7.8
164,Popayán,4,22.2
165,Barranquilla,3,21.6
166,Tunja,2,18.0
167,Bucaramanga,2,18.4
168,Quibdó,1,21.4
169,Ipiales,4,6.4
170,Mitú,3,24.7
171,Valledupar,5,21.3
172,Tunja,1,14.4
173,Pasto,5,4.6
174,Villavicencio,5,17.8
175,Pasto,1,22.9
176,Montería,4,13.1
177,Cúcuta,5,8.3
178,Neiva,3,16.8
179,Popayán,3,13.6
180,Tunja,4,22.4
181,Santa Marta,2,17.4
182,Barranquilla,3,6.7
183,Valledupar,3,16.3
184,Riohacha,3,9.9
185,Ipiales,3,10.0
186,Quibdó,4,6.5
187,Santa Marta,1,15.4
188,Pasto,5,16.5
189,Ibagué,1,15.7
190,Mitú,4,13.0
191,Mitú,5,9.7
192,Bucaramanga,1,10.7
193,Sincelejo,5,10.5
194,Riohacha,2,15.3
195,Cali,5,17.7
196,Santa Marta,3,14.2
197,Riohacha,4,19.1
198,Villavicencio,1,24.0
199,Quibdó,1,14.5
200,Armenia,2,14.5
201,Medellín,3,11.5
202,Cali,4,18.6
203,Mitú,5,5.5
204,Riohacha,1,13.6
205,Neiva,4,12.8
206,Medellín,1,20.0
207,Pereira,3,7.7
208,Valledupar,5,11.3
209,Quibdó,4,18.2
210,Popayán,3,24.7
211,Ibagué,2,20.1
212,Valledupar,5,22.3
213,Cúcuta,1,10.4
214,Cúcuta,4,14.7
215,Barranquilla,1,8.3
216,Riohacha,3,7.1
217,Tunja,2,7.6
218,Quibdó,5,10.0
219,Valledupar,3,24.8
220,Ipiales,5,18.2
221,Neiva,1,19.4
222,Manizales,5,8.6
223,Manizales,4,17.3
224,Valledupar,3,8.8
225,Montería,1,9.7
226,Bucaramanga,4,23.4
227,Pasto,4,23.8
228,Cali,3,20.8
229,Tunja,2,13.8
230,Ibagué,2,6.0
231,Ibagué,1,17.4
232,Tunja,3,5.6
233,Valledupar,1,9.4
234,Cartagena,3,8.4
235,Montería,3,14.4
236,Santa Marta,3,15.7
237,Villavicencio,1,8.3
238,Ipiales,1,7.0
239,Cali,2,15.4
240,Popayán,3,21.9
241,Cali,1,13.7
242,Riohacha,4,9.2
243,Popayán,5,16.8
244,Bucaramanga,1,5.3
245,Armenia,5,16.4
246,Quibdó,3,9.1
247,Bucaramanga,1,24.3
248,Tunja,2,20.9
249,Manizales,5,14.0
250,Riohacha,5,6.2
251,Sincelejo,1,14.9
252,Medellín,5,20.9
253,Mitú,3,10.1
254,Medellín,3,15.1
255,Medellín,1,22.2
256,Barranquilla,4,24.8
