origen,destino,distancia
C8,C49,351
C40,C62,302
C32,C50,213
C56,C68,480
C5,C69,217
C26,C37,102
C44,C54,150
C15,C22,269
C52,C76,327
C15,C25,442
C25,C45,144
C38,C60,215
C48,C55,340
C30,C66,270
C15,C37,287
C53,C77,367
C14,C18,253
C39,C50,89
C42,C49,146
C43,C53,90
C20,C73,402
C7,C51,192
C39,C75,360
C28,C75,284
C19,C41,341
C13,C23,301
C1,C23,129
C32,C36,160
C43,C47,331
C16,C30,342
C41,C55,113
C33,C74,405
C57,C65,173
C4,C13,98
C29,C42,102
C8,C80,375
C11,C36,191
C35,C40,370
C50,C56,277
C13,C36,446
C23,C37,83
C10,C66,184
C8,C56,406
C59,C77,245
C28,C73,310
C11,C80,138
C4,C22,335
C32,C61,190
C28,C32,161
C5,C39,402
C18,C57,120
C2,C35,118
C11,C44,170
C41,C60,209
C19,C73,475
C9,C55,482
C26,C31,149
C65,C76,294
C16,C38,260
C41,C48,399
C17,C53,130
C2,C26,408
C11,C64,306
C51,C59,427
C4,C9,227
C51,C68,143
C40,C70,494
C11,C46,402
C57,C68,228
C30,C35,253
C71,C77,420
C1,C26,493
C23,C55,220
C1,C77,356
C2,C24,368
C40,C66,467
C4,C8,271
C53,C75,334
C40,C68,396
C53,C58,140
C21,C42,503
C7,C33,302
C23,C58,393
C35,C41,252
C27,C79,195
C38,C78,288
C41,C66,258
C21,C66,244
C15,C28,472
C48,C56,142
C10,C38,433
C45,C56,134
C39,C73,195
C10,C27,416
C19,C58,246
C35,C47,481
C44,C66,394
C3,C43,84
C53,C54,287
C40,C73,94
C11,C32,299
C8,C74,510
C2,C31,501
C4,C42,286
C24,C26,517
C52,C73,139
C11,C79,414
C57,C59,208
C62,C69,460
C15,C49,421
C60,C80,219
C5,C74,184
C28,C50,150
C36,C38,318
C29,C34,392
C19,C62,118
C8,C57,260
C15,C36,116
C57,C73,427
C27,C30,235
C2,C11,470
C27,C37,289
C19,C72,141
C32,C69,84
C29,C31,478
C6,C62,292
C60,C67,398
C21,C47,376
C34,C39,512
C41,C59,444
C20,C43,153
C28,C45,260
C33,C73,340
C1,C61,238
C26,C41,438
C17,C35,292
C8,C29,239
C16,C35,276
C19,C63,201
C6,C28,224
C20,C51,330
C19,C37,328
C61,C67,231
C7,C66,318
C22,C63,158
C39,C55,331
C52,C65,177
C45,C47,330
C1,C15,466
C65,C75,88
C4,C46,359
C18,C55,205
C10,C44,394
C5,C18,173
C23,C38,117
C2,C18,132
C4,C67,254
C2,C36,174
C28,C55,299
C2,C64,498
C29,C77,175
C49,C68,154
C7,C78,496
C30,C65,158
C36,C76,494
C39,C63,101
C36,C55,249
C49,C63,89
C46,C79,128
C19,C46,279
C30,C42,168
C16,C51,500
C8,C15,401
C37,C72,93
C1,C10,198
C37,C61,192
C5,C54,409
C43,C75,267
C35,C73,483
C43,C80,213
C12,C65,288
C29,C45,240
C22,C60,84
C16,C33,196
C35,C46,389
C16,C28,447
C7,C14,122
C13,C31,360
C55,C59,223
C18,C39,110
C1,C18,505
C24,C73,239
C52,C53,416
C12,C78,302
C22,C66,278
C24,C55,200
C51,C53,464
C4,C25,98
C52,C60,219
C28,C52,301
