vehiculo,ruta,costo
V1,R1,333
V1,R2,369
V1,R3,540
V1,R4,522
V1,R5,288
V1,R6,285
V1,R7,280
V1,R8,280
V1,R9,447
V1,R10,511
V1,R11,513
V1,R12,399
V1,R13,422
V1,R14,498
V1,R15,492
V1,R16,327
V1,R17,486
V1,R18,453
V1,R19,449
V1,R20,415
V1,R21,360
V1,R22,431
V1,R23,352
V1,R24,519
V1,R25,393
V1,R26,411
V1,R27,341
V1,R28,308
V1,R29,318
V1,R30,506
V1,R31,337
V1,R32,514
V1,R33,379
V1,R34,550
V1,R35,474
V1,R36,450
V1,R37,474
V1,R38,326
V1,R39,470
V1,R40,313
V1,R41,444
V1,R42,419
V1,R43,416
V1,R44,443
V1,R45,508
V1,R46,501
V1,R47,300
V1,R48,384
V1,R49,496
V1,R50,522
V2,R1,332
V2,R2,489
V2,R3,459
V2,R4,450
V2,R5,512
V2,R6,319
V2,R7,447
V2,R8,473
V2,R9,510
V2,R10,492
V2,R11,434
V2,R12,385
V2,R13,406
V2,R14,513
V2,R15,420
V2,R16,501
V2,R17,528
V2,R18,455
V2,R19,342
V2,R20,318
V2,R21,354
V2,R22,367
V2,R23,469
V2,R24,357
V2,R25,385
V2,R26,519
V2,R27,539
V2,R28,550
V2,R29,280
V2,R30,301
V2,R31,326
V2,R32,363
V2,R33,298
V2,R34,462
V2,R35,280
V2,R36,288
V2,R37,462
V2,R38,437
V2,R39,507
V2,R40,280
V2,R41,382
V2,R42,362
V2,R43,491
V2,R44,332
V2,R45,463
V2,R46,341
V2,R47,391
V2,R48,534
V2,R49,430
V2,R50,461
V3,R1,474
V3,R2,373
V3,R3,403
V3,R4,311
V3,R5,529
V3,R6,334
V3,R7,287
V3,R8,526
V3,R9,399
V3,R10,462
V3,R11,321
V3,R12,414
V3,R13,310
V3,R14,519
V3,R15,347
V3,R16,536
V3,R17,493
V3,R18,550
V3,R19,490
V3,R20,507
V3,R21,461
V3,R22,418
V3,R23,515
V3,R24,504
V3,R25,543
V3,R26,550
V3,R27,500
V3,R28,525
V3,R29,505
V3,R30,424
V3,R31,544
V3,R32,550
V3,R33,489
V3,R34,396
V3,R35,280
V3,R36,453
V3,R37,426
V3,R38,490
V3,R39,488
V3,R40,319
V3,R41,285
V3,R42,550
V3,R43,419
V3,R44,550
V3,R45,364
V3,R46,466
V3,R47,438
V3,R48,544
V3,R49,455
V3,R50,461
V4,R1,487
V4,R2,395
V4,R3,297
V4,R4,328
V4,R5,526
V4,R6,534
V4,R7,425
V4,R8,531
V4,R9,415
V4,R10,401
V4,R11,339
V4,R12,534
V4,R13,366
V4,R14,426
V4,R15,368
V4,R16,382
V4,R17,542
V4,R18,484
V4,R19,466
V4,R20,336
V4,R21,550
V4,R22,344
V4,R23,296
V4,R24,542
V4,R25,536
V4,R26,508
V4,R27,280
V4,R28,474
V4,R29,346
V4,R30,310
V4,R31,411
V4,R32,319
V4,R33,413
V4,R34,323
V4,R35,430
V4,R36,388
V4,R37,280
V4,R38,280
V4,R39,499
V4,R40,550
V4,R41,301
V4,R42,515
V4,R43,365
V4,R44,323
V4,R45,409
V4,R46,436
V4,R47,485
V4,R48,407
V4,R49,539
V4,R50,356
V5,R1,550
