id,destino,prioridad,peso
1,Ipiales,3,14.6
2,Montería,3,11.9
3,Cali,2,9.3
4,Montería,3,17.9
5,Montería,5,4.9
6,Pasto,4,15.6
7,Bucaramanga,3,15.2
8,Ipiales,5,13.4
9,Santa Marta,2,7.7
10,Sincelejo,5,21.4
11,Armenia,5,5.5
12,Armenia,2,11.4
13,Armenia,4,20.6
14,Manizales,4,5.3
15,Sincelejo,1,16.2
16,Pasto,3,24.8
17,Villavicencio,4,4.5
18,Bogotá,3,19.6
19,Barranquilla,2,9.1
20,Neiva,3,13.3
21,Bogotá,4,10.4
22,Medellín,1,8.2
23,Ipiales,2,22.6
24,Santa Marta,3,13.7
25,Bucaramanga,4,6.7
26,Popayán,3,22.0
27,Sincelejo,5,17.9
28,Pasto,3,20.0
29,Pereira,1,15.1
30,Barranquilla,2,16.4
31,Sincelejo,5,24.8
32,Villavicencio,3,5.8
33,Cali,2,22.1
34,Barranquilla,4,19.1
35,Pereira,2,11.9
36,Armenia,4,5.0
37,Cali,5,5.0
38,Pasto,1,14.3
39,Barranquilla,5,8.0
40,Cali,2,22.0
41,Armenia,3,19.6
42,Armenia,4,18.8
43,Neiva,1,14.9
44,Montería,1,7.4
45,Bucaramanga,5,13.9
46,Bucaramanga,1,13.4
47,Bogotá,4,5.2
48,Pasto,1,4.8
49,Villavicencio,4,13.6
50,Sincelejo,3,22.8
51,Bucaramanga,4,21.6
52,Ipiales,2,16.1
53,Cartagena,1,7.0
54,Cali,1,18.7
55,Bogotá,3,17.6
56,Neiva,4,15.9
57,Ipiales,2,16.5
58,Montería,4,7.7
59,Manizales,1,14.3
60,Riohacha,5,14.8
61,Sincelejo,4,23.5
62,Bucaramanga,5,15.5
63,Medellín,5,7.2
64,Riohacha,2,19.3
65,Barranquilla,3,12.0
66,Cartagena,5,11.0
67,Pereira,2,14.5
68,Popayán,4,13.6
69,Valledupar,1,10.0
70,Bogotá,3,17.9
71,Pasto,4,14.3
72,Riohacha,5,15.1
73,Riohacha,5,12.8
74,Barranquilla,4,9.7
75,Cali,2,11.1
76,Bucaramanga,3,20.0
77,Medellín,3,11.8
78,Armenia,2,9.7
79,Pasto,1,7.9
80,Neiva,3,20.2
81,Bucaramanga,2,21.8
82,Valledupar,3,15.5
83,Armenia,4,22.5
84,Barranquilla,5,7.3
85,Armenia,2,18.6
86,Valledupar,1,16.0
87,Tunja,5,19.3
88,Popayán,2,24.6
89,Sincelejo,4,6.1
90,Villavicencio,5,11.9
91,Cartagena,5,8.5
92,Barranquilla,5,20.9
93,Bogotá,3,9.9
94,Cartagena,2,12.3
95,Armenia,2,9.6
96,Popayán,2,11.8
97,Sincelejo,2,19.4
98,Bogotá,1,9.8
99,Santa Marta,2,10.1
100,Popayán,5,6.8
101,Pasto,2,6.6
102,Villavicencio,2,18.8
103,Barranquilla,1,12.3
104,Valledupar,2,22.0
105,Medellín,5,9.2
106,Manizales,5,20.2
107,Cartagena,4,24.6
108,Medellín,5,8.9
109,Ipiales,2,23.6
110,Neiva,2,11.2
111,Santa Marta,1,6.5
112,Armenia,4,14.7
113,Villavicencio,2,11.4
114,Manizales,1,22.2
115,Tunja,3,14.0
116,Bogotá,5,13.3
117,Cali,1,17.4
118,Cartagena,5,20.4
119,Armenia,4,20.4
120,Cartagena,4,15.5
121,Armenia,1,8.0
122,Bucaramanga,5,20.3
123,Pasto,5,8.0
124,Pereira,4,18.9
125,Santa Marta,4,14.4
126,Bucaramanga,3,10.8
127,Medellín,3,17.8
128,Pereira,1,10.5
129,Neiva,3,24.6
130,Tunja,4,22.7
131,Popayán,2,21.5
132,Pereira,1,11.2
133,Villavicencio,5,15.9
134,Riohacha,1,15.9
135,Pereira,3,6.0
136,Armenia,4,15.8
137,Montería,2,20.6
138,Popayán,4,8.5
139,Pereira,4,6.9
140,Pereira,2,13.4
141,Montería,4,8.5
142,Neiva,3,8.9
143,Bogotá,4,22.9
144,Bogotá,5,7.2
145,Barranquilla,4,12.5
146,Sincelejo,2,20.9
147,Cartagena,1,4.9
148,Bogotá,4,6.8
149,Montería,3,15.2
150,Tunja,3,20.9
151,Armenia,3,12.1
152,Santa Marta,3,23.8
153,Cali,4,8.1
154,Neiva,2,23.6
155,Bucaramanga,2,15.1
156,Cartagena,1,5.6
157,Valledupar,5,22.1
158,Manizales,4,5.5
159,Medellín,1,13.9
160,Armenia,1,5.9
161,Medellín,4,8.6
162,Cali,1,13.5
163,Neiva,4,14.8
164,Manizales,5,17.8
165,Popayán,1,18.7
166,Bogotá,2,5.2
167,Pereira,1,14.9
168,Medellín,5,7.1
169,Manizales,5,8.6
170,Medellín,5,12.4
171,Ipiales,3,8.5
172,Ipiales,1,5.3
173,Pasto,3,11.8
174,Barranquilla,4,8.9
175,Sincelejo,2,22.3
176,Sincelejo,5,21.1
177,Montería,1,7.3
178,Cali,4,19.5
179,Pasto,2,18.0
180,Valledupar,4,10.6
181,Pereira,5,20.7
182,Bucaramanga,3,8.8
183,Popayán,2,10.6
184,Pereira,3,20.4
185,Manizales,2,19.3
186,Neiva,1,19.7
187,Bogotá,1,6.4
188,Bucaramanga,4,20.3
189,Montería,1,9.2
190,Villavicencio,1,6.3
191,Pereira,3,18.1
192,Bucaramanga,3,16.8
193,Cali,3,11.4
194,Sincelejo,5,15.7
195,Bogotá,5,23.9
196,Pasto,3,10.8
197,Pereira,1,12.8
198,Medellín,1,18.6
199,Ipiales,1,22.6
200,Santa Marta,4,7.5
201,Popayán,4,23.7
202,Sincelejo,5,15.7
203,Tunja,3,10.3
204,Cartagena,3,15.5
205,Riohacha,5,18.0
206,Valledupar,5,14.8
207,Sincelejo,4,20.5
208,Neiva,3,24.6
209,Santa Marta,5,7.7
210,Popayán,2,16.7
211,Pasto,1,20.9
212,Bucaramanga,4,19.3
213,Pasto,4,21.7
214,Armenia,5,23.0
215,Bucaramanga,2,19.6
216,Montería,4,10.9
217,Cartagena,2,14.2
218,Medellín,5,14.2
219,Cartagena,4,6.8
220,Santa Marta,2,11.9
221,Montería,3,11.4
222,Manizales,5,24.0
223,Neiva,2,14.1
224,Medellín,1,22.3
225,Barranquilla,5,22.9
226,Bucaramanga,5,21.7
227,Pasto,3,19.7
228,Popayán,5,22.3
229,Montería,2,4.7
230,Cartagena,1,19.4
231,Cali,4,8.6
232,Sincelejo,5,21.5
233,Ipiales,3,11.5
234,Armenia,4,12.6
235,Cartagena,2,20.0
236,Santa Marta,1,8.7
237,Valledupar,5,24.8
238,Popayán,5,13.7
239,Pereira,4,15.6
240,Ipiales,5,9.6
241,Manizales,5,20.6
242,Manizales,4,21.3
243,Pasto,1,8.2
244,Medellín,2,7.5
245,Sincelejo,4,21.6
246,Bogotá,4,13.4
247,Cali,3,6.3
248,Ipiales,3,24.1
249,Popayán,2,10.1
250,Cali,1,20.2
251,Manizales,5,12.0
252,Ipiales,4,11.1
253,Valledupar,1,23.3
254,Armenia,4,24.1
255,Popayán,5,13.7
256,Medellín,5,15.1
257,Ipiales,1,23.7
258,Ipiales,3,11.0
259,Manizales,3,10.5
260,Pereira,2,23.9
261,Valledupar,1,18.1
262,Bogotá,2,21.5
263,Pasto,1,9.1
264,Barranquilla,1,23.2
265,Armenia,2,24.5
266,Armenia,3,16.0
267,Montería,2,4.7
268,Bucaramanga,2,23.0
269,Popayán,3,8.4
270,Pereira,5,18.4
271,Popayán,5,8.8
272,Popayán,4,19.0
273,Bogotá,4,18.4
274,Sincelejo,5,24.8
275,Pereira,4,7.6
276,Medellín,5,12.3
277,Medellín,5,8.6
278,Armenia,3,8.6
279,Cartagena,1,24.9
280,Montería,5,7.6
281,Cartagena,3,8.4
282,Neiva,1,5.4
283,Armenia,1,19.1
284,Cali,4,8.2
285,Cartagena,2,4.8
286,Neiva,1,9.5
287,Sincelejo,4,21.1
288,Villavicencio,2,16.4
289,Pereira,5,18.2
290,Pereira,4,7.2
291,Tunja,5,8.8
292,Valledupar,2,21.6
293,Neiva,5,9.3
294,Barranquilla,4,4.9
295,Riohacha,3,6.4
